descripcion,precio,tipoAplicacion,cantidad,costoUnidad,precioUnidad
PAÑO MEDIA NJA 1U 1U          ,"216,59",Cocina,100,"2,1659","2,707375"
PAÑO MEDIA NJA PISO 1U PISO 1U,"544,26",Cocina,100,"5,44258","6,803225"
PAÑO MEDIA NJA.MICROF.MULT. MI,"1742,88",Cocina,100,"17,42884","21,78605"
PAÑO MEDIA NJA.MULT.3U MULTIUS,"581,71",Cocina,100,"5,81707","7,2713375"
PAÑO SKAY MULT.8U AL $6U MULTI,"2084,83",Cocina,100,"20,8483","26,060375"
PAÑO SKAY ROLLO 25U ROLLO     ,"3646,94",Cocina,100,"36,4694","45,58675"
BALDE LA PORTEÑA 10L          ,"991,73",Multiuso,100,"9,9173","12,396625"
COPA RIGOLL.NORUEGA AGUA250ML ,"406,86",Multiuso,100,"4,06857","5,0857125"
CUBETERA LA PORTEÑA 2U        ,"546,36",Multiuso,100,"5,46359","6,8294875"
ENVASE PET IBERIA CRISTAL 400M,"960,69",Multiuso,100,"9,6069","12,008625"
FELPUDO LA PORTEÑA 35X50 FEST.,"1572,87",Multiuso,100,"15,7287","19,660875"
HERM.O CLOCK RECTANG.2000ML RE,"783,17",Multiuso,100,"7,8317","9,789625"
VASO RIGOLL.OSLO 370C OSLO    ,"378,97",Multiuso,100,"3,78972","4,73715"
